Datetime,Flow (l/s) [Catchment 1],Flow (l/s) [Catchment 2],Flow (l/s) [Catchment 3],Flow (l/s) [Catchment 4 After  2013/08/13],Flow (l/s) [Catchment 5],Flow (l/s) [Catchment 6],Flow (l/s) [Catchment 7],Flow (l/s) [Catchment 8],Flow (l/s) [Catchment 9],Flow (l/s) [Catchment 10],Flow (l/s) [Catchment 11],Flow (l/s) [Catchment 12],Flow (l/s) [Catchment 13],Flow (l/s) [Catchment 14],Flow (l/s) [Catchment 15],Soil Temperature @ 15cm Depth (oC) [Catchment 1],Soil Temperature @ 15cm Depth (oC) [Catchment 2],Soil Temperature @ 15cm Depth (oC) [Catchment 3],Soil Temperature @ 15cm Depth (oC) [Catchment 4 After  2013/08/13],Soil Temperature @ 15cm Depth (oC) [Catchment 5],Soil Temperature @ 15cm Depth (oC) [Catchment 6],Soil Temperature @ 15cm Depth (oC) [Catchment 7],Soil Temperature @ 15cm Depth (oC) [Catchment 8],Soil Temperature @ 15cm Depth (oC) [Catchment 9],Soil Temperature @ 15cm Depth (oC) [Catchment 10],Soil Temperature @ 15cm Depth (oC) [Catchment 11],Soil Temperature @ 15cm Depth (oC) [Catchment 12],Soil Temperature @ 15cm Depth (oC) [Catchment 13],Soil Temperature @ 15cm Depth (oC) [Catchment 14],Soil Temperature @ 15cm Depth (oC) [Catchment 15],Soil Moisture @ 10cm Depth (%) [Catchment 1],Soil Moisture @ 10cm Depth (%) [Catchment 2],Soil Moisture @ 10cm Depth (%) [Catchment 3],Soil Moisture @ 10cm Depth (%) [Catchment 4 After  2013/08/13],Soil Moisture @ 10cm Depth (%) [Catchment 5],Soil Moisture @ 10cm Depth (%) [Catchment 6],Soil Moisture @ 10cm Depth (%) [Catchment 7],Soil Moisture @ 10cm Depth (%) [Catchment 8],Soil Moisture @ 10cm Depth (%) [Catchment 9],Soil Moisture @ 10cm Depth (%) [Catchment 10],Soil Moisture @ 10cm Depth (%) [Catchment 11],Soil Moisture @ 10cm Depth (%) [Catchment 12],Soil Moisture @ 10cm Depth (%) [Catchment 13],Soil Moisture @ 10cm Depth (%) [Catchment 14],Soil Moisture @ 10cm Depth (%) [Catchment 15]
2018/12/15 01:15:00,0.45,0.33,0.40,0.78,0.40,0.40,0.20,0.20,0.53,0.16,0.18,0.01,0.03,0.14,0.13,5.50,5.56,5.50,6.38,5.94,6.50,6.19,6.25,6.25,5.88,5.94,6.75,6.38,6.12,5.88,39.00,35.78,38.27,37.56,39.50,38.02,40.02,35.43,37.38,37.01,36.02,35.63,38.21,39.52,33.23
2018/12/15 01:30:00,0.45,0.33,0.40,0.78,0.40,0.40,0.20,0.20,0.53,0.16,0.18,0.01,0.03,0.14,0.14,5.50,5.56,5.50,6.38,5.94,6.50,6.19,6.25,6.25,5.88,6.00,6.75,6.38,6.12,5.88,39.00,35.82,38.25,37.56,39.54,38.02,40.02,35.43,37.38,37.01,36.02,35.65,38.17,39.54,33.23
2018/12/15 01:45:00,0.45,0.33,0.40,0.78,0.40,0.43,0.20,0.20,0.53,0.16,0.20,0.01,0.03,0.14,0.14,5.50,5.56,5.56,6.38,5.94,6.50,6.19,6.25,6.25,5.88,5.94,6.75,6.38,6.12,5.88,39.00,35.82,38.25,37.56,39.54,38.04,40.02,35.43,37.38,37.01,36.02,35.65,38.17,39.50,33.23
2018/12/15 02:00:00,0.45,0.33,0.40,0.78,0.40,0.43,0.20,0.20,0.53,0.16,0.18,0.01,0.03,0.16,0.14,5.50,5.56,5.50,6.38,6.00,6.50,6.25,6.25,6.25,5.88,6.00,6.75,6.38,6.12,5.88,39.00,35.82,38.27,37.58,39.54,38.04,40.02,35.43,37.38,37.01,36.02,35.63,38.15,39.45,33.23
2018/12/15 02:15:00,0.45,0.33,0.43,0.73,0.40,0.43,0.20,0.20,0.57,0.16,0.18,0.01,0.03,0.16,0.14,5.50,5.56,5.56,6.38,6.00,6.50,6.25,6.25,6.25,5.88,5.94,6.75,6.38,6.12,5.88,39.02,35.85,38.32,37.58,39.54,38.04,40.02,35.43,37.38,37.01,36.02,35.65,38.15,39.50,33.23
2018/12/15 02:30:00,0.45,0.33,0.43,0.78,0.40,0.43,0.20,0.23,0.57,0.16,0.18,0.01,0.04,0.16,0.14,5.50,5.56,5.56,6.38,6.00,6.50,6.25,6.25,6.25,5.88,5.94,6.75,6.38,6.12,5.88,39.00,35.87,38.36,37.58,39.54,38.11,40.02,35.43,37.38,37.01,36.05,35.63,38.17,39.50,33.23
2018/12/15 02:45:00,0.45,0.36,0.43,0.78,0.43,0.43,0.22,0.23,0.57,0.16,0.20,0.01,0.04,0.18,0.14,5.50,5.56,5.56,6.38,6.00,6.50,6.25,6.25,6.25,5.88,5.94,6.75,6.38,6.12,5.88,39.06,35.98,38.48,37.63,39.56,38.33,40.02,35.46,37.38,37.01,36.05,35.63,38.19,39.50,33.25
2018/12/15 03:00:00,0.45,0.36,0.43,0.78,0.43,0.46,0.22,0.25,0.61,0.16,0.20,0.01,0.05,0.20,0.14,5.50,5.62,5.56,6.38,6.00,6.50,6.25,6.25,6.25,5.88,5.94,6.75,6.38,6.12,5.88,39.13,36.26,38.82,37.69,39.63,39.00,40.07,35.46,37.38,37.01,36.07,35.67,38.19,39.54,33.32
2018/12/15 03:15:00,0.45,0.40,0.46,0.82,0.46,0.49,0.24,0.30,0.64,0.18,0.20,0.01,0.07,0.26,0.14,5.50,5.62,5.56,6.38,6.00,6.50,6.25,6.25,6.25,5.88,5.94,6.75,6.38,6.12,5.88,39.21,38.19,39.42,37.72,39.84,39.54,40.11,35.48,37.42,37.06,36.11,35.70,38.21,39.63,33.38
2018/12/15 03:30:00,0.49,0.46,0.57,0.92,0.57,0.57,0.26,0.43,0.73,0.18,0.20,0.01,0.11,0.36,0.16,5.50,5.62,5.56,6.38,6.00,6.50,6.25,6.25,6.25,5.88,5.94,6.75,6.38,6.12,5.88,39.34,40.13,39.60,37.84,39.93,39.67,40.13,35.64,37.44,37.08,36.16,35.74,38.26,39.72,33.57
